Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
13%,29-1229.00,"Physicians, All Other",Average,9600
13%,29-1229.01,Allergists and Immunologists,Average,9600
13%,29-1229.02,Hospitalists,Average,9600
13%,29-1229.03,Urologists,Average,9600
13%,29-1229.04,Physical Medicine and Rehabilitation Physicians,Average,9600
13%,29-1229.05,Preventive Medicine Physicians,Average,9600
13%,29-1229.06,Sports Medicine Physicians,Average,9600
13%,17-3031.00,Surveying and Mapping Technicians,Faster than average,7600
13%,11-3061.00,Purchasing Managers,Average,6400
13%,53-5011.00,Sailors and Marine Oilers,Slower than average,3900
13%,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Decline,3500
13%,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Much faster than average,1200
13%,53-7041.00,Hoist and Winch Operators,Decline,300
13%,53-4099.00,"Rail Transportation Workers, All Other",Average,200
12%,49-9071.00,"Maintenance and Repair Workers, General",Average,159800
12%,39-3091.00,Amusement and Recreation Attendants,Average,102400
12%,49-9051.00,Electrical Power-Line Installers and Repairers,Much faster than average,10700
12%,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Average,10600
12%,19-4099.01,Quality Control Analysts,Average,10600
12%,19-4099.03,Remote Sensing Technicians,Average,10600
12%,15-2031.00,Operations Research Analysts,Much faster than average,9600
12%,19-2031.00,Chemists,Faster than average,6300
12%,39-3099.00,"Entertainment Attendants and Related Workers, All Other",Average,2200
12%,49-3043.00,Rail Car Repairers,Average,1500
12%,51-8011.00,Nuclear Power Reactor Operators,Decline,400
11%,11-9199.00,"Managers, All Other",Faster than average,106700
11%,11-9199.01,Regulatory Affairs Managers,Faster than average,106700
11%,11-9199.02,Compliance Managers,Faster than average,106700
11%,11-9199.08,Loss Prevention Managers,Faster than average,106700
11%,11-9199.09,Wind Energy Operations Managers,Faster than average,106700
11%,11-9199.10,Wind Energy Development Managers,Faster than average,106700
11%,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Faster than average,106700
11%,11-3013.00,Facilities Managers,Average,13200
11%,11-3013.01,Security Managers,Average,13200
11%,49-3011.00,Aircraft Mechanics and Service Technicians,Average,11300
11%,53-3099.00,"Motor Vehicle Operators, All Other",Faster than average,11100
11%,29-1031.00,Dietitians and Nutritionists,Faster than average,6200
11%,53-4031.00,Railroad Conductors and Yardmasters,Slower than average,3100
11%,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Average,1500
11%,17-2111.02,Fire-Prevention and Protection Engineers,Average,1500
11%,45-2099.00,"Agricultural Workers, All Other",Slower than average,1500
10%,43-9061.00,"Office Clerks, General",Decline,282400
10%,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Decline,202800
10%,13-1071.00,Human Resources Specialists,Faster than average,81800
10%,53-3051.00,"Bus Drivers, School",Little or no change,61000
10%,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Average,52400
10%,27-3031.00,Public Relations Specialists,Faster than average,27600
10%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Slower than average,26500
10%,21-1019.00,"Counselors, All Other",Much faster than average,7400
10%,29-2091.00,Orthotists and Prosthetists,Much faster than average,900
10%,29-1223.00,Psychiatrists,Faster than average,900
10%,19-3022.00,Survey Researchers,Decline,700
10%,29-1081.00,Podiatrists,Slower than average,300
